kernel,FLOPS
boundary_kernel_element_local,51156
fM1,1890
fM2,4662
fM3,10962
fM4,10962
fP111,4626
fP112,4626
fP113,1890
fP121,5670
fP122,13878
fP123,13878
fP131,17622
fP132,15480
fP133,15768
fP141,15768
fP142,15480
fP143,17622
fP211,5670
fP212,13878
fP213,13878
fP221,18810
fP222,4662
fP223,18810
fP231,12312
fP232,18702
fP233,17640
fP241,18702
fP242,12312
fP243,17640
fP311,17622
fP312,15480
fP313,15768
fP321,12312
fP322,18702
fP323,17640
fP331,13914
fP332,21834
fP333,14958
fP341,10962
fP342,20358
fP343,20358
fP411,15768
fP412,15480
fP413,17622
fP421,18702
fP422,12312
fP423,17640
fP431,10962
fP432,20358
fP433,20358
fP441,13914
fP442,14958
fP443,21834
flux_solver,5670
kEta,4536
kXi,1944
kZeta,5166
star_matrix,1680
time_kernel,69579
volume_kernel,16686
