kernel,FLOPS
boundary_kernel_element_local,209160
fM1,3528
fM2,56448
fM3,56448
fM4,56448
fP111,56448
fP112,56448
fP113,3528
fP121,56448
fP122,56448
fP123,56448
fP131,56448
fP132,56448
fP133,56448
fP141,56448
fP142,56448
fP143,56448
fP211,56448
fP212,56448
fP213,56448
fP221,56448
fP222,56448
fP223,56448
fP231,56448
fP232,56448
fP233,56448
fP241,56448
fP242,56448
fP243,56448
fP311,56448
fP312,56448
fP313,56448
fP321,56448
fP322,56448
fP323,56448
fP331,56448
fP332,56448
fP333,56448
fP341,56448
fP342,56448
fP343,56448
fP411,56448
fP412,56448
fP413,56448
fP421,56448
fP422,56448
fP423,56448
fP431,56448
fP432,56448
fP433,56448
fP441,56448
fP442,56448
fP443,56448
flux_solver,9072
kEtaDivM,56448
kEtaDivMT_10,306
kEtaDivMT_20,1386
kEtaDivMT_35,4536
kEtaDivMT_4,36
kEtaDivMT_56,12096
kXiDivM,5292
kXiDivMT_10,126
kXiDivMT_20,594
kXiDivMT_35,1944
kXiDivMT_4,18
kXiDivMT_56,5292
kZetaDivM,56448
kZetaDivMT_10,396
kZetaDivMT_20,1656
kZetaDivMT_35,5166
kZetaDivMT_4,54
kZetaDivMT_56,13356
star_matrix,2688
star_matrix_ader_1,48
star_matrix_ader_10,480
star_matrix_ader_20,960
star_matrix_ader_35,1680
star_matrix_ader_4,192
time_kernel,62586
volume_kernel,126252
